loan_id,borrower_id,loan_type,disbursement_date,loan_amount,interest_rate,tenure_months,emi,outstanding_principal,dpd_bucket,months_active,base_risk_score,vintage,ticket_size,payment_delayed_5d,partial_payment,segment_high_default
LN00532,BR45842,Personal,2023-05-25,593000.0,18.31,36,21530.7,88950.0,Current,36,0.1931,24M+,2-10L,True,True,True
LN00533,BR81197,Personal,2025-05-27,110000.0,11.66,36,3635.74,78833.33,Current,12,0.18,6-12M,<2L,True,True,False
LN00534,BR29198,Business,2023-11-15,1363000.0,15.23,60,32590.46,783725.0,Current,30,0.1423,24M+,10-50L,True,True,False
LN00535,BR20358,Personal,2025-11-06,316000.0,11.44,36,10411.4,271233.33,Current,6,0.17,0-6M,2-10L,True,True,False
LN00536,BR72793,Home,2023-08-10,1609000.0,11.1,240,16717.55,1420948.12,Current,33,0.03,24M+,10-50L,True,False,False
LN00537,BR45537,Personal,2024-12-14,455000.0,22.38,24,23690.03,181052.08,60 DPD,17,0.2338,12-24M,2-10L,True,True,True
LN00538,BR90698,Auto,2024-07-24,1159000.0,10.27,84,19402.85,900984.52,Current,22,0.08,12-24M,10-50L,True,True,False
LN00539,BR97796,Personal,2024-09-28,552000.0,23.92,60,15854.3,395600.0,90+ DPD,20,0.2492,12-24M,2-10L,True,False,True
LN00540,BR16880,Auto,2024-10-26,1204000.0,13.11,84,21975.19,972516.67,Current,19,0.0911,12-24M,10-50L,True,False,False
LN00541,BR71918,Home,2023-10-08,1541000.0,10.03,120,20390.04,1202622.08,Current,31,0.06,24M+,10-50L,False,False,False
LN00542,BR82135,Business,2025-04-25,1289000.0,18.9,24,64914.1,695522.92,Closed,13,0.179,12-24M,10-50L,False,False,False
LN00543,BR72350,Personal,2023-10-21,452000.0,11.81,24,21237.13,67800.0,60 DPD,24,0.13,12-24M,2-10L,True,True,False
LN00544,BR47649,Home,2022-06-09,7805000.0,9.06,300,65820.26,6765634.17,Current,47,0.03,24M+,50L+,False,False,False
LN00545,BR21725,Auto,2024-06-26,1632000.0,14.49,60,38389.64,1100240.0,Current,23,0.1049,12-24M,10-50L,True,False,False
LN00546,BR14888,Personal,2024-10-13,349000.0,12.56,60,7862.44,255060.83,Current,19,0.1356,12-24M,2-10L,True,True,False
LN00547,BR33040,Business,2023-09-29,4672000.0,17.4,36,167501.1,1142044.44,Current,32,0.164,24M+,10-50L,True,False,False
LN00548,BR34420,Auto,2023-11-10,1138000.0,12.37,36,37999.31,331916.67,Current,30,0.0837,24M+,10-50L,False,False,False
LN00549,BR84443,Personal,2025-11-16,616000.0,12.22,36,20524.8,528733.33,Closed,6,0.1722,0-6M,2-10L,False,False,False
LN00550,BR53914,Auto,2025-06-26,1608000.0,12.96,84,29217.72,1429014.29,30 DPD,11,0.0896,6-12M,10-50L,True,True,False
LN00551,BR81211,Personal,2023-07-16,277000.0,14.05,36,9473.93,54630.56,Current,34,0.1505,24M+,2-10L,True,False,False
LN00552,BR27589,Personal,2023-04-26,116000.0,23.15,60,3280.1,55196.67,30 DPD,37,0.2915,24M+,<2L,True,True,True
LN00553,BR24764,Home,2024-07-22,3750000.0,9.29,300,32217.89,3516250.0,Current,22,0.03,12-24M,10-50L,True,False,False
LN00554,BR94972,Home,2025-03-05,6405000.0,9.82,240,61047.74,6087418.75,Current,14,0.03,12-24M,50L+,True,True,False
LN00555,BR54185,Business,2025-01-15,2736000.0,21.92,48,86081.84,1960800.0,Closed,16,0.2092,12-24M,10-50L,False,False,False
LN00556,BR35318,Business,2022-11-26,1438000.0,21.31,48,44768.79,368487.5,Current,42,0.2031,24M+,10-50L,True,True,False
LN00557,BR63148,Personal,2022-08-29,663000.0,15.64,24,32348.61,99450.0,Current,24,0.1664,12-24M,2-10L,True,True,False
LN00558,BR62538,Business,2023-03-13,4406000.0,20.06,60,116879.19,2034103.33,Current,38,0.1906,24M+,10-50L,True,True,False
LN00559,BR72580,Auto,2025-01-18,748000.0,8.57,36,23636.79,465422.22,Current,16,0.08,12-24M,2-10L,True,False,False
LN00560,BR60275,Home,2024-09-10,2562000.0,10.63,240,25802.61,2380525.0,Closed,20,0.03,12-24M,10-50L,False,False,False
LN00561,BR53204,Personal,2023-08-01,782000.0,19.15,24,39476.55,117300.0,Current,24,0.2015,12-24M,2-10L,True,True,True
LN00562,BR11498,Auto,2022-10-27,439000.0,14.03,60,10221.59,171575.83,30 DPD,43,0.1003,24M+,2-10L,True,True,False
LN00563,BR40972,Business,2022-06-03,2692000.0,18.06,48,79161.93,451470.83,60 DPD,47,0.1706,24M+,10-50L,True,True,False
LN00564,BR50213,Auto,2022-05-05,515000.0,11.52,36,16987.54,77250.0,Current,36,0.08,24M+,2-10L,False,False,False
LN00565,BR50760,Personal,2023-10-24,160000.0,15.46,24,7792.88,24000.0,Current,24,0.2146,12-24M,<2L,True,False,False
LN00566,BR48671,Personal,2022-07-03,69000.0,12.32,12,6140.9,10350.0,Current,12,0.1832,6-12M,<2L,True,True,False
LN00567,BR27507,Business,2022-08-22,2973000.0,21.66,48,93119.66,603890.62,Current,45,0.2066,24M+,10-50L,True,True,False
LN00568,BR89395,Home,2025-03-24,3806000.0,9.78,300,33996.66,3655028.67,Current,14,0.03,12-24M,10-50L,False,False,False
LN00569,BR71712,Home,2023-10-03,1951000.0,10.38,240,19321.38,1736796.46,Current,31,0.03,24M+,10-50L,True,True,False
LN00570,BR42435,Personal,2022-05-12,515000.0,19.28,60,13438.85,164800.0,Current,48,0.2028,24M+,2-10L,True,False,True
LN00571,BR79228,Personal,2025-08-17,96000.0,21.04,60,2599.28,83760.0,30 DPD,9,0.2704,6-12M,<2L,True,True,True
LN00572,BR24707,Home,2025-08-25,1523000.0,11.98,240,16748.31,1474454.38,Current,9,0.03,6-12M,10-50L,False,False,False
LN00573,BR36497,Personal,2023-01-06,571000.0,23.78,12,53932.76,85650.0,30 DPD,12,0.2478,6-12M,2-10L,True,True,True
LN00574,BR53007,Personal,2023-01-28,157000.0,12.14,60,3503.5,68033.33,30 DPD,40,0.1814,24M+,<2L,True,True,False
LN00575,BR36922,Personal,2023-08-11,126000.0,19.84,60,3327.02,67095.0,30 DPD,33,0.2584,24M+,<2L,True,False,True
LN00576,BR76895,Personal,2023-05-06,432000.0,23.96,60,12417.73,211680.0,60 DPD,36,0.2496,24M+,2-10L,True,False,True
LN00577,BR77272,Auto,2025-10-10,1307000.0,10.14,72,24305.65,1198990.97,90+ DPD,7,0.08,6-12M,10-50L,True,False,False
LN00578,BR83242,Home,2023-07-11,5743000.0,9.42,300,49857.4,5189757.67,Current,34,0.03,24M+,50L+,False,False,False
LN00579,BR61897,Personal,2024-05-10,715000.0,16.57,48,20472.64,411125.0,Current,24,0.1757,12-24M,2-10L,True,False,False
LN00580,BR85800,Personal,2026-01-25,326000.0,16.09,36,11475.68,295211.11,Current,4,0.2109,0-6M,2-10L,True,False,False
LN00581,BR18357,Auto,2025-10-31,1521000.0,13.39,36,51534.68,1269612.5,Current,7,0.0939,6-12M,10-50L,False,False,False
LN00582,BR19046,Personal,2025-09-30,362000.0,17.0,60,8996.63,320973.33,30 DPD,8,0.18,6-12M,2-10L,True,False,False
LN00583,BR33590,Personal,2025-11-28,245000.0,20.76,48,7555.0,218968.75,30 DPD,6,0.2576,0-6M,2-10L,True,True,True
LN00584,BR94656,Personal,2022-06-28,451000.0,13.41,24,21528.32,67650.0,Current,24,0.1441,12-24M,2-10L,True,False,False
LN00585,BR60132,Personal,2023-12-27,231000.0,23.67,48,7488.94,112371.88,30 DPD,29,0.2467,24M+,2-10L,True,True,True
LN00586,BR99486,Auto,2023-12-20,1927000.0,11.41,72,37084.61,1267270.14,Current,29,0.08,24M+,10-50L,False,False,False
LN00587,BR55582,Personal,2025-05-04,461000.0,16.63,60,11365.52,382630.0,Current,12,0.1763,6-12M,2-10L,True,True,False
LN00588,BR61518,Auto,2025-01-31,377000.0,11.42,36,12417.62,234577.78,Current,16,0.08,12-24M,2-10L,True,False,False
LN00589,BR39188,Personal,2025-05-16,294000.0,20.45,60,7863.0,244020.0,Current,12,0.2145,6-12M,2-10L,True,True,True
LN00590,BR70686,Home,2025-12-16,4383000.0,9.28,120,56188.34,4227768.75,Current,5,0.1,0-6M,10-50L,True,False,False
LN00591,BR40102,Home,2023-02-07,8065000.0,11.51,300,82037.2,7173817.5,Current,39,0.03,24M+,50L+,False,False,False
LN00592,BR46129,Business,2023-07-03,4041000.0,15.15,36,140379.61,796975.0,Current,34,0.1415,24M+,10-50L,True,False,False
LN00593,BR96533,Auto,2025-06-14,988000.0,9.78,48,24953.98,795545.83,Closed,11,0.08,6-12M,2-10L,False,False,False
LN00594,BR12050,Auto,2022-08-21,269000.0,14.31,72,5587.7,126093.75,Current,45,0.1031,24M+,2-10L,True,False,False
LN00595,BR87849,Home,2024-12-05,6735000.0,10.47,180,74323.41,6194329.17,Current,17,0.03,12-24M,50L+,True,False,False
LN00596,BR16380,Business,2023-08-01,3365000.0,18.14,24,168222.32,504750.0,Current,24,0.1714,12-24M,10-50L,True,True,False
LN00597,BR40715,Personal,2025-11-02,439000.0,12.53,24,20774.08,345712.5,30 DPD,6,0.1753,0-6M,2-10L,True,True,False
LN00598,BR17398,Auto,2024-11-13,1122000.0,12.76,84,20265.27,917635.71,Current,18,0.0876,12-24M,10-50L,True,False,False
LN00599,BR40692,Personal,2023-04-06,114000.0,20.17,24,5811.59,17100.0,Current,24,0.2617,12-24M,<2L,True,True,True
LN00600,BR98150,Personal,2024-04-18,103000.0,10.66,60,2222.04,66520.83,30 DPD,25,0.18,24M+,<2L,True,True,False
LN00601,BR28777,Business,2024-10-03,3819000.0,15.53,48,107314.46,2534065.62,30 DPD,19,0.1453,12-24M,10-50L,True,True,False
LN00602,BR46064,Personal,2024-11-05,312000.0,20.96,60,8433.63,232440.0,Current,18,0.2196,12-24M,2-10L,True,True,True
LN00603,BR32955,Auto,2022-12-18,533000.0,9.22,36,17003.88,79950.0,Current,36,0.08,24M+,2-10L,True,False,False
LN00604,BR55143,Personal,2022-12-20,545000.0,20.82,48,16823.58,149307.29,Current,41,0.2182,24M+,2-10L,True,True,True
LN00605,BR64568,Personal,2023-02-22,66000.0,11.61,48,1725.42,20418.75,30 DPD,39,0.18,24M+,<2L,True,True,False
LN00606,BR34101,Business,2025-04-01,1830000.0,19.69,60,48168.69,1492975.0,Current,13,0.1869,12-24M,10-50L,True,False,False
LN00607,BR49418,Home,2024-09-25,4437000.0,8.43,300,35518.86,4185570.0,Current,20,0.03,12-24M,10-50L,False,False,False
LN00608,BR83713,Personal,2023-06-28,511000.0,20.96,24,26248.03,76650.0,30 DPD,24,0.2196,12-24M,2-10L,True,True,True
LN00609,BR27575,Home,2023-10-01,5773000.0,7.69,300,43377.97,5265938.17,Current,31,0.03,24M+,50L+,True,True,False
LN00610,BR53288,Business,2024-09-21,4094000.0,14.93,60,97245.61,2934033.33,90+ DPD,20,0.1393,12-24M,10-50L,True,True,False
LN00611,BR22119,Business,2023-07-25,3208000.0,17.82,24,159877.65,481200.0,Current,24,0.1682,12-24M,10-50L,True,True,False
LN00612,BR59436,Auto,2025-01-06,1661000.0,12.6,84,29856.82,1392076.19,30 DPD,16,0.086,12-24M,10-50L,True,True,False
LN00613,BR19539,Personal,2022-09-15,304000.0,23.03,60,8575.14,114506.67,Closed,44,0.2403,24M+,2-10L,False,False,True
LN00614,BR83249,Personal,2022-10-16,329000.0,16.33,24,16160.79,49350.0,Current,24,0.1733,12-24M,2-10L,True,True,False
LN00615,BR53642,Home,2023-05-26,6516000.0,11.74,180,77116.33,5408280.0,Current,36,0.03,24M+,50L+,True,False,False
LN00616,BR34906,Personal,2025-12-31,141000.0,13.17,36,4762.4,124354.17,Current,5,0.2317,0-6M,<2L,True,True,False
LN00617,BR89220,Business,2023-05-27,3406000.0,14.86,24,164919.06,510900.0,Current,24,0.1386,12-24M,10-50L,True,True,False
LN00618,BR82362,Auto,2023-11-11,1750000.0,13.93,48,47759.91,820312.5,Current,30,0.0993,24M+,10-50L,True,True,False
LN00619,BR79946,Business,2024-07-01,1635000.0,19.55,48,49362.48,998031.25,Current,22,0.1855,12-24M,10-50L,True,True,False
LN00620,BR77215,Home,2024-05-10,8578000.0,10.78,240,87260.42,7848870.0,Current,24,0.03,12-24M,50L+,True,False,False
LN00621,BR71537,Auto,2023-06-22,1381000.0,9.24,72,25058.08,810378.47,Current,35,0.08,24M+,10-50L,True,True,False
LN00622,BR64254,Home,2024-12-11,9862000.0,11.72,240,106670.19,9268225.42,Current,17,0.03,12-24M,50L+,False,False,False
LN00623,BR29126,Personal,2022-12-06,174000.0,12.28,12,15482.49,26100.0,30 DPD,12,0.1828,6-12M,<2L,True,True,False
LN00624,BR86550,Auto,2024-08-15,1672000.0,9.49,36,53551.28,842966.67,30 DPD,21,0.08,12-24M,10-50L,True,True,False
LN00625,BR53236,Home,2024-06-06,8566000.0,10.8,300,82720.85,8007782.33,Current,23,0.03,12-24M,50L+,False,False,False
LN00626,BR42208,Home,2023-12-16,6313000.0,9.79,180,67031.08,5448469.72,Current,29,0.03,24M+,50L+,False,False,False
LN00627,BR99764,Personal,2022-12-31,474000.0,19.8,48,14373.53,129856.25,Current,41,0.208,24M+,2-10L,True,True,True
LN00628,BR74044,Business,2024-08-22,3363000.0,19.61,48,101639.81,2112384.38,90+ DPD,21,0.1861,12-24M,10-50L,True,False,False
LN00629,BR56160,Personal,2023-07-03,396000.0,10.63,48,10163.82,157575.0,Current,34,0.13,24M+,2-10L,True,False,False
LN00630,BR74004,Personal,2025-04-20,595000.0,23.89,24,31425.65,321052.08,90+ DPD,13,0.2489,12-24M,2-10L,True,False,True
LN00631,BR17698,Personal,2023-01-17,351000.0,21.3,24,18088.13,52650.0,Current,24,0.223,12-24M,2-10L,True,True,True
LN00632,BR19742,Personal,2025-11-23,466000.0,20.4,60,12450.09,426390.0,90+ DPD,6,0.254,0-6M,2-10L,True,True,True
LN00633,BR92667,Home,2026-01-18,2692000.0,9.1,120,34246.98,2615726.67,90+ DPD,4,0.1,0-6M,10-50L,True,False,False
LN00634,BR11198,Auto,2025-09-14,1198000.0,8.04,48,29269.18,1028283.33,Current,8,0.08,6-12M,10-50L,True,False,False
LN00635,BR17923,Auto,2023-04-02,264000.0,13.22,48,7111.32,91025.0,90+ DPD,37,0.0922,24M+,2-10L,True,False,False
LN00636,BR90808,Personal,2022-07-05,769000.0,15.47,60,18484.72,267868.33,30 DPD,46,0.1647,24M+,2-10L,True,True,False
LN00637,BR10866,Personal,2022-05-22,162000.0,14.63,48,4478.26,24300.0,30 DPD,48,0.2063,24M+,<2L,True,True,False
LN00638,BR46010,Business,2026-01-07,4984000.0,15.68,60,120355.42,4701573.33,Closed,4,0.1868,0-6M,10-50L,False,False,False
LN00639,BR98346,Home,2025-12-27,7499000.0,11.49,240,79919.89,7366205.21,Current,5,0.07,0-6M,50L+,True,False,False
LN00640,BR22624,Home,2025-01-29,4524000.0,9.36,300,39086.66,4318912.0,Current,16,0.03,12-24M,10-50L,False,False,False
LN00641,BR91235,Auto,2025-04-02,206000.0,12.34,84,3674.03,178901.19,Current,13,0.0834,12-24M,2-10L,True,True,False
LN00642,BR45038,Personal,2024-09-02,646000.0,11.76,60,14291.69,462966.67,Current,20,0.13,12-24M,2-10L,True,True,False
LN00643,BR63218,Home,2025-08-23,5329000.0,10.39,300,49897.36,5193110.5,Current,9,0.03,6-12M,50L+,False,False,False
LN00644,BR39603,Personal,2022-12-01,485000.0,18.08,48,14267.16,132869.79,Current,41,0.1908,24M+,2-10L,True,True,True
LN00645,BR95182,Home,2025-08-19,6431000.0,10.54,240,64378.7,6226011.88,Current,9,0.03,6-12M,50L+,False,False,False
LN00646,BR59436,Auto,2025-07-24,686000.0,13.78,36,23372.62,524027.78,Current,10,0.0978,6-12M,2-10L,True,True,False
LN00647,BR32463,Home,2025-10-09,1694000.0,7.76,300,12806.39,1660402.33,Current,7,0.03,6-12M,10-50L,False,False,False
LN00648,BR94529,Personal,2023-04-14,639000.0,20.05,12,59208.74,95850.0,60 DPD,12,0.2105,6-12M,2-10L,True,False,True
LN00649,BR22499,Auto,2022-11-30,1131000.0,11.08,60,24635.83,458055.0,Current,42,0.08,24M+,10-50L,True,False,False
LN00650,BR84289,Personal,2025-11-05,296000.0,16.36,60,7254.89,270840.0,30 DPD,6,0.2136,0-6M,2-10L,True,True,False
LN00651,BR19744,Personal,2024-07-25,215000.0,18.58,48,6380.97,131239.58,Closed,22,0.1958,12-24M,2-10L,False,False,True
LN00652,BR14312,Auto,2023-01-15,1997000.0,14.53,60,47017.24,865366.67,90+ DPD,40,0.1053,24M+,10-50L,True,False,False
LN00653,BR37152,Home,2024-04-27,4791000.0,10.36,180,52544.6,4225395.83,Closed,25,0.03,24M+,10-50L,False,False,False
LN00654,BR62205,Auto,2025-04-11,413000.0,10.87,84,7043.37,358670.83,Current,13,0.08,12-24M,2-10L,False,False,False
LN00655,BR41519,Auto,2024-05-29,891000.0,12.0,36,29593.95,386100.0,Current,24,0.08,12-24M,2-10L,True,True,False
LN00656,BR28343,Home,2023-01-20,2660000.0,9.13,300,22559.9,2358533.33,Current,40,0.03,24M+,10-50L,False,False,False
LN00657,BR55332,Personal,2023-04-12,70000.0,10.83,12,6181.17,10500.0,Current,12,0.18,6-12M,<2L,True,True,False
LN00658,BR19963,Auto,2025-07-15,692000.0,11.63,36,22862.2,528611.11,Current,10,0.08,6-12M,2-10L,True,True,False
LN00659,BR88067,Personal,2022-09-10,756000.0,14.0,36,25838.29,113400.0,30 DPD,36,0.15,24M+,2-10L,True,True,False
LN00660,BR45825,Home,2024-04-03,8855000.0,11.29,300,88651.78,8227770.83,Closed,25,0.03,24M+,50L+,False,False,False
LN00661,BR82487,Personal,2023-05-03,652000.0,16.69,48,18709.08,236350.0,90+ DPD,36,0.1769,24M+,2-10L,True,False,False
LN00662,BR86791,Home,2023-08-31,2201000.0,7.86,300,16784.06,1995206.5,Current,33,0.03,24M+,10-50L,False,False,False
LN00663,BR48715,Auto,2025-08-09,1094000.0,11.06,72,20856.92,977762.5,Current,9,0.08,6-12M,10-50L,False,False,False
LN00664,BR30214,Auto,2025-09-03,1578000.0,9.11,48,39351.07,1354450.0,Current,8,0.08,6-12M,10-50L,True,False,False
LN00665,BR61068,Home,2022-07-13,2218000.0,10.88,300,21546.76,1928920.67,Current,46,0.03,24M+,10-50L,False,False,False
LN00666,BR10680,Auto,2024-01-24,1922000.0,8.48,60,39414.25,1159606.67,90+ DPD,28,0.08,24M+,10-50L,True,False,False
LN00667,BR45358,Personal,2023-08-05,262000.0,14.03,36,8958.36,57858.33,Current,33,0.1503,24M+,2-10L,True,True,False
LN00668,BR66489,Personal,2025-05-05,730000.0,13.87,12,65499.95,109500.0,Current,12,0.1487,6-12M,2-10L,False,False,False
LN00669,BR63483,Personal,2022-12-18,620000.0,16.57,48,17752.49,169854.17,60 DPD,41,0.1757,24M+,2-10L,True,False,False
LN00670,BR82642,Auto,2025-12-09,318000.0,11.41,36,10472.76,280458.33,60 DPD,5,0.12,0-6M,2-10L,True,True,False
LN00671,BR52523,Personal,2022-09-27,97000.0,22.74,12,9113.24,14550.0,90+ DPD,12,0.2874,6-12M,<2L,True,True,True
LN00672,BR60829,Personal,2026-01-06,449000.0,16.05,48,12736.29,417195.83,30 DPD,4,0.2105,0-6M,2-10L,True,True,False
LN00673,BR41816,Personal,2022-12-13,725000.0,10.79,12,64005.71,108750.0,Current,12,0.13,6-12M,2-10L,True,False,False
LN00674,BR59903,Auto,2023-03-01,1934000.0,11.92,84,34057.7,1190330.95,Current,38,0.08,24M+,10-50L,True,False,False
LN00675,BR45180,Business,2025-04-22,735000.0,16.19,36,25909.42,509395.83,90+ DPD,13,0.1519,12-24M,2-10L,True,True,False
LN00676,BR66973,Personal,2025-04-08,598000.0,23.75,48,19413.34,460335.42,Current,13,0.2475,12-24M,2-10L,True,True,True
LN00677,BR20082,Personal,2023-09-22,541000.0,13.17,36,18272.76,132244.44,60 DPD,32,0.1417,24M+,2-10L,True,False,False
LN00678,BR91924,Home,2024-09-03,5175000.0,11.87,240,56512.89,4808437.5,Current,20,0.03,12-24M,50L+,False,False,False
LN00679,BR70012,Home,2022-10-03,4146000.0,8.01,300,32026.97,3640879.0,Current,43,0.03,24M+,10-50L,False,False,False
LN00680,BR61864,Personal,2025-04-29,219000.0,13.89,12,19652.05,32850.0,Current,12,0.1489,6-12M,2-10L,True,True,False
LN00681,BR53193,Business,2022-08-10,3026000.0,17.23,48,87675.85,614656.25,Current,45,0.1623,24M+,10-50L,True,True,False
LN00682,BR95332,Personal,2024-03-17,695000.0,20.26,48,21245.5,375010.42,Current,26,0.2126,24M+,2-10L,True,True,True
LN00683,BR89064,Personal,2025-04-28,581000.0,17.84,60,14703.06,473999.17,Current,13,0.1884,12-24M,2-10L,True,True,False
LN00684,BR62198,Personal,2023-05-26,394000.0,17.04,24,19487.83,59100.0,Current,24,0.1804,12-24M,2-10L,True,True,False
LN00685,BR92955,Personal,2024-06-14,759000.0,21.97,36,28974.78,346820.83,60 DPD,23,0.2297,12-24M,2-10L,True,False,True
LN00686,BR52714,Auto,2022-11-09,1032000.0,10.88,72,19579.8,520300.0,Current,42,0.08,24M+,10-50L,True,False,False
LN00687,BR61502,Auto,2024-07-06,1182000.0,8.44,72,20979.15,875008.33,Current,22,0.08,12-24M,10-50L,True,True,False
LN00688,BR36188,Home,2025-06-12,8258000.0,9.57,240,77353.27,7936282.08,Current,11,0.03,6-12M,50L+,True,True,False
LN00689,BR82102,Personal,2023-01-10,640000.0,13.22,60,14634.15,277333.33,Current,40,0.1422,24M+,2-10L,True,True,False
LN00690,BR37479,Personal,2023-07-01,174000.0,14.96,12,15701.66,26100.0,Current,12,0.2096,6-12M,<2L,True,False,False
LN00691,BR19064,Auto,2024-06-14,1135000.0,9.43,72,20702.05,826815.97,Current,23,0.08,12-24M,10-50L,True,True,False
LN00692,BR49692,Business,2023-04-15,4458000.0,20.71,60,119877.77,2121265.0,Current,37,0.1971,24M+,10-50L,True,True,False
LN00693,BR65460,Personal,2024-09-01,388000.0,23.8,24,20475.28,113166.67,30 DPD,20,0.248,12-24M,2-10L,True,True,True
LN00694,BR88372,Auto,2025-09-02,249000.0,8.46,72,4421.92,225483.33,90+ DPD,8,0.08,6-12M,2-10L,True,False,False
LN00695,BR76402,Home,2022-10-27,9183000.0,9.92,300,82928.67,8064204.5,Current,43,0.03,24M+,50L+,False,False,False
LN00696,BR57124,Home,2023-01-14,1949000.0,10.46,300,18346.45,1728113.33,Closed,40,0.03,24M+,10-50L,False,False,False
LN00697,BR21138,Auto,2022-10-03,885000.0,13.43,84,16307.5,499919.64,Current,43,0.0943,24M+,2-10L,True,False,False
LN00698,BR56531,Business,2024-09-10,1417000.0,17.23,24,70216.39,413291.67,Current,20,0.1623,12-24M,10-50L,True,False,False
LN00699,BR83822,Personal,2022-06-16,645000.0,18.3,24,32294.62,96750.0,90+ DPD,24,0.193,12-24M,2-10L,True,True,True
LN00700,BR66420,Home,2024-03-23,8181000.0,9.28,300,70230.03,7578333.0,Current,26,0.03,24M+,50L+,False,False,False
LN00701,BR39098,Business,2026-01-10,2899000.0,13.58,24,138614.84,2488308.33,Current,4,0.1658,0-6M,10-50L,True,False,False
LN00702,BR85397,Auto,2023-03-06,1628000.0,10.22,84,27212.15,1001995.24,Current,38,0.08,24M+,10-50L,True,False,False
LN00703,BR70694,Business,2023-08-03,4578000.0,14.77,36,158182.73,1010975.0,Current,33,0.1377,24M+,10-50L,True,False,False
LN00704,BR73277,Business,2024-02-25,1133000.0,14.02,36,38734.26,410712.5,Current,27,0.1302,24M+,10-50L,True,True,False
LN00705,BR21253,Personal,2024-06-05,720000.0,19.33,12,66466.19,108000.0,Current,12,0.2033,6-12M,2-10L,True,True,True
LN00706,BR54966,Personal,2025-04-16,380000.0,18.81,12,34985.05,57000.0,30 DPD,12,0.1981,6-12M,2-10L,True,True,True
LN00707,BR55652,Personal,2024-12-04,712000.0,21.35,48,22181.83,497658.33,Current,17,0.2235,12-24M,2-10L,True,False,True
LN00708,BR69303,Home,2025-07-16,9704000.0,9.38,300,83975.47,9429053.33,Current,10,0.03,6-12M,50L+,False,False,False
LN00709,BR25084,Business,2025-09-16,3506000.0,18.35,48,103631.07,3009316.67,Current,8,0.1735,6-12M,10-50L,True,True,False
LN00710,BR98754,Personal,2024-02-29,711000.0,16.27,12,64600.52,106650.0,90+ DPD,12,0.1727,6-12M,2-10L,True,True,False
LN00711,BR82339,Personal,2024-09-19,59000.0,18.06,24,2947.23,17208.33,90+ DPD,20,0.2406,12-24M,<2L,True,True,True
LN00712,BR70562,Home,2024-03-25,7474000.0,11.51,180,87358.03,6556358.89,Current,26,0.03,24M+,50L+,True,False,False
LN00713,BR34430,Personal,2023-10-25,599000.0,13.03,24,28485.99,89850.0,Current,24,0.1403,12-24M,2-10L,True,True,False
LN00714,BR90492,Business,2023-11-13,4186000.0,17.41,60,104957.93,2406950.0,Closed,30,0.1641,24M+,10-50L,False,False,False
LN00715,BR60965,Auto,2023-07-26,766000.0,11.3,48,19909.45,304804.17,Current,34,0.08,24M+,2-10L,True,False,False
LN00716,BR18200,Auto,2024-11-18,1027000.0,10.5,36,33380.01,590525.0,Current,18,0.08,12-24M,10-50L,True,True,False
LN00717,BR52727,Home,2023-01-28,8454000.0,9.01,120,107137.46,6058700.0,Current,40,0.06,24M+,50L+,True,False,False
LN00718,BR97910,Personal,2023-07-09,584000.0,21.65,24,30196.0,87600.0,60 DPD,24,0.2265,12-24M,2-10L,True,True,True
LN00719,BR51078,Personal,2023-02-16,230000.0,12.42,48,6104.32,71156.25,60 DPD,39,0.1342,24M+,2-10L,True,True,False
LN00720,BR86939,Personal,2023-11-28,388000.0,20.61,60,10411.76,223100.0,Current,30,0.2161,24M+,2-10L,True,True,True
LN00721,BR70012,Auto,2024-02-19,1318000.0,10.47,36,42819.58,477775.0,Current,27,0.08,24M+,10-50L,True,True,False
LN00722,BR48986,Auto,2025-02-12,1048000.0,14.85,84,20134.9,888928.57,Current,15,0.1085,12-24M,10-50L,True,False,False
LN00723,BR41270,Home,2025-05-02,2136000.0,10.54,120,28869.98,1954440.0,Current,12,0.06,6-12M,10-50L,True,True,False
LN00724,BR28528,Personal,2025-06-06,565000.0,11.44,36,18615.33,418256.94,Current,11,0.13,6-12M,2-10L,True,False,False
LN00725,BR28070,Personal,2023-11-28,692000.0,13.57,60,15947.78,397900.0,Current,30,0.1457,24M+,2-10L,True,True,False
LN00726,BR73788,Auto,2023-12-08,703000.0,12.5,84,12598.63,496702.98,Current,29,0.085,24M+,2-10L,True,False,False
LN00727,BR32706,Auto,2022-06-20,1123000.0,10.14,84,18724.47,588906.55,Current,47,0.08,24M+,10-50L,True,False,False
LN00728,BR28388,Personal,2025-02-24,75000.0,14.6,60,1768.54,59062.5,Current,15,0.206,12-24M,<2L,True,False,False
LN00729,BR91187,Auto,2024-04-27,1889000.0,14.1,48,51714.52,1052723.96,Current,25,0.101,24M+,10-50L,True,False,False
LN00730,BR73518,Auto,2024-01-27,1619000.0,12.65,36,54277.97,548661.11,Current,28,0.0865,24M+,10-50L,True,False,False
LN00731,BR83607,Personal,2024-12-28,730000.0,19.55,24,36993.65,290479.17,Current,17,0.2055,12-24M,2-10L,True,True,True
LN00732,BR64477,Home,2023-10-17,1999000.0,9.51,300,17479.09,1823421.17,Current,31,0.03,24M+,10-50L,False,False,False
LN00733,BR84107,Home,2023-05-07,8781000.0,9.96,300,79545.54,7885338.0,Current,36,0.03,24M+,50L+,False,False,False
LN00734,BR46025,Personal,2024-11-06,783000.0,11.99,12,69564.94,117450.0,Current,12,0.13,6-12M,2-10L,True,True,False
